Name,Specialty,Photo URL,Address
Kay Daniels,Obstetrician and Gynecologist (OB-GYN),https://stanfordhealthcare.org/content/dam/SHC/doctors-medicalstaff/d/daniels-kay-md.jpg/jcr:content/renditions/original.transform/280x280-gray/image.jpg,900 Blake Wilbur Dr
Devika Madhu Das MD,Internal medicine doctor,https://stanfordhealthcare.org/content/dam/SHC/doctors-medicalstaff/d/das-devika-md.jpg/jcr:content/renditions/original.transform/280x280-gray/image.jpg,
Laurel Dawson,Internal medicine doctor,https://stanfordhealthcare.org/content/dam/SHC/doctors-medicalstaff/d/dawson-laurel-md.jpg/jcr:content/renditions/original.transform/280x280-gray/image.jpg,52 Skytop St
Korina De Bruyne,Internal medicine doctor,https://stanfordhealthcare.org/content/dam/SHC/doctors-medicalstaff/d/debruyne-korina-md.jpg/jcr:content/renditions/original.transform/280x280-gray/image.jpg,N/A
Claire Del Signore MD,Pediatrician,https://stanfordhealthcare.org/content/dam/SHC/doctors-medicalstaff/d/delsignore-claire-md.jpg/jcr:content/renditions/original.transform/280x280-gray/image.jpg,14651 S Bascom Ave Ste 200
Stanley Deresinski,Internal medicine doctor,https://stanfordhealthcare.org/content/dam/SHC/doctors-medicalstaff/d/deresinski-stan-md.jpeg/jcr:content/renditions/original.transform/280x280-gray/image.jpg,
Cynthia DeTata MD MACM FACOG,Obstetrician and Gynecologist (OB-GYN),https://stanfordhealthcare.org/content/dam/SHC/doctors-medicalstaff/d/detata-cynthia-md.jpg/jcr:content/renditions/original.transform/280x280-gray/image.jpg,
Elizabeth Dong MD,Pediatrician,https://stanfordhealthcare.org/content/dam/SHC/doctors-medicalstaff/d/dong-elizabeth-md.png/jcr:content/renditions/original.transform/280x280-gray/image.jpg,1300 Crane St
Bryan Drucker MD,Pediatrician,https://stanfordhealthcare.org/content/dam/SHC/doctors-medicalstaff/d/drucker-bryan-md.jpg/jcr:content/renditions/original.transform/280x280-gray/image.jpg,2577 Samaritan Dr Ste 830
Benjamin J. Durant MD,Family medicine doctor,https://stanfordhealthcare.org/content/dam/SHC/doctors-medicalstaff/d/durant-benjamin-md.jpg/jcr:content/renditions/original.transform/280x280-gray/image.jpg,3301 El Camino Real
Todd Dwelle MD,Pediatrician,https://stanfordhealthcare.org/content/dam/SHC/doctors-medicalstaff/d/dwelle-todd-md.jpg/jcr:content/renditions/original.transform/280x280-gray/image.jpg,1900 Garden Rd Ste 110
Scott D. Eaton MD FACOG,Obstetrician and Gynecologist (OB-GYN),https://stanfordhealthcare.org/content/dam/SHC/doctors-medicalstaff/e/eaton-scott-md.jpg/jcr:content/renditions/original.transform/280x280-gray/image.jpg,1133 E Stanley Blvd
Lauren Edwards,Internal medicine doctor,https://stanfordhealthcare.org/content/dam/SHC/doctors-medicalstaff/e/edwards-lauren-md.png/jcr:content/renditions/original.transform/280x280-gray/image.jpg,960 N San Antonio Rd
